audit_no,title,verdict,requirements,design,disposition,acceptance_ids,closure
11,Correlation engine,CONFIRMED,"[""PM-GRAPH-04"", ""PM-GRAPH-05""]",Blueprint 6 dan 8,Unknown same-series tidak memberi diversification credit; overlapping caps teruji.,"[""T-PM-GRAPH-04"", ""T-PM-GRAPH-05""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
12,Source intelligence,CONFIRMED,"[""PM-INTEL-02"", ""PM-INTEL-03""]",Blueprint 6,"Kelas epistemik, corrections, independence dan latency dipisahkan.","[""T-PM-INTEL-02"", ""T-PM-INTEL-03""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
13,Catalyst invalidation,CONFIRMED,"[""PM-INTEL-07"", ""PM-INTEL-08""]",Blueprint 6,Durable event bus dan consumer watermark mengikat validitas intent.,"[""T-PM-INTEL-07"", ""T-PM-INTEL-08""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
14,Exit engine,CONFIRMED,"[""PM-SIZE-03"", ""PM-SIZE-04""]",Blueprint 8,"Hold, exit, reallocate memakai remaining value; bukan cost-basis anchoring.","[""T-PM-SIZE-03"", ""T-PM-SIZE-04""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
15,Position sizing,CONFIRMED_WITH_UPSTREAM_FINDING,"[""PM-SIZE-01"", ""PM-SIZE-02"", ""PM-SIZE-05""]",Blueprint 8,Kelly upstream ada tetapi heuristic probability/minimum floor/win streak perlu rewrite.,"[""T-PM-SIZE-01"", ""T-PM-SIZE-02"", ""T-PM-SIZE-05""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
16,Simulator calibration,CONFIRMED,"[""PM-EXP-06"", ""PM-VAL-03""]",Blueprint 13,Reality gap per profile menjadi gate micro-LIVE; threshold preregistered.,"[""T-PM-EXP-06"", ""T-PM-VAL-03""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
17,Retensi eksperimen,CONFIRMED,"[""PM-EXP-04"", ""PM-EXP-05""]",Blueprint 12,HOT expiry tidak dapat menghapus pinned EXPERIMENT objects.,"[""T-PM-EXP-04"", ""T-PM-EXP-05""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
18,Universe logging,CONFIRMED,"[""PM-EXP-01""]",Blueprint 12 dan 13,Simpan denominator discovery sampai rejection dan NO_TRADE.,"[""T-PM-EXP-01""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
19,Multiple testing,CONFIRMED,"[""PM-EXP-02"", ""PM-EXP-03""]",Blueprint 13,"Global trial registry, abandoned runs dan alpha budget tanpa reset holdout.","[""T-PM-EXP-02"", ""T-PM-EXP-03""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
20,Hosted model immutability,CONFIRMED,"[""PM-INTEL-10"", ""PM-EXP-08""]",Blueprint 6 dan 13,Fingerprint ketika tersedia; saved-response replay dibedakan dari model regeneration.,"[""T-PM-INTEL-10"", ""T-PM-EXP-08""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
21,Signer isolation,CONFIRMED,"[""PM-SEC-01"", ""PM-SEC-02"", ""PM-OPS-03""]",Blueprint 10,Vault narrow typed request dengan permit verification dan signing budget.,"[""T-PM-SEC-01"", ""T-PM-SEC-02"", ""T-PM-OPS-03""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
22,Plugin isolation,CONFIRMED,"[""PM-SEC-03"", ""PM-STR-04""]",Blueprint 7 dan 10,OS isolation wajib; dynamic import/in-process permission model bukan security boundary.,"[""T-PM-SEC-03"", ""T-PM-STR-04""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
23,SSRF dan egress,CONFIRMED,"[""PM-SEC-04"", ""PM-SEC-05"", ""PM-SEC-07""]",Blueprint 10,Validate DNS/redirect/private IPv4 IPv6 dan connection pinning.,"[""T-PM-SEC-04"", ""T-PM-SEC-05"", ""T-PM-SEC-07""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
24,Dependency amputation,CONFIRMED,"[""PM-SEC-06"", ""PM-SEC-09""]",Blueprint 3 dan 10,80 direct runtime plus 9 dev dependency dipetakan; closure rilis baru belum dibangun.,"[""T-PM-SEC-06"", ""T-PM-SEC-09""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
25,Rate limits dan TTL,CONFIRMED_WITH_UPDATE,"[""PM-VENUE-05"", ""PM-VENUE-06""]",Blueprint 9,Cloudflare queue ditambah signer order/cancel buckets; enforcement phase tidak ditebak dari kalender.,"[""T-PM-VENUE-05"", ""T-PM-VENUE-06""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
26,Credential lifecycle,CONFIRMED,"[""PM-WALLET-06"", ""PM-WALLET-07"", ""PM-WALLET-08""]",Blueprint 5,"Key birth/rotation/revoke/compromise first-class, relayer/session terpisah.","[""T-PM-WALLET-06"", ""T-PM-WALLET-07"", ""T-PM-WALLET-08""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
27,Heartbeat contract,CONFIRMED,"[""PM-EXE-07"", ""PM-PROTO-02""]",Blueprint 4 dan 9,clob-client-v2 package memperlihatkan /v1/heartbeats dan heartbeat_id; unified surface perlu contract bridge terbatas.,"[""T-PM-EXE-07"", ""T-PM-PROTO-02""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
28,Error taxonomy,CONFIRMED,"[""PM-VENUE-04""]",Blueprint 9,Raw venue code dipetakan dengan operation context; unknown submission bukan retry order.,"[""T-PM-VENUE-04""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
29,Arsitektur lengkap,CONFIRMED,"[""PM-GOV-05"", ""PM-INTEL-01"", ""PM-SEC-01"", ""PM-LED-01""]",Blueprint 2,"Control, intelligence, strategy, money kernel, execution, vault dan durable data plane.","[""T-PM-GOV-05"", ""T-PM-INTEL-01"", ""T-PM-SEC-01"", ""T-PM-LED-01""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
30,Freeze readiness,CONFIRMED,"[""PM-FORK-04"", ""PM-EXP-09""]",PRD 10; Blueprint 15,Dokumen v1.1 merupakan candidate baseline; authenticated contract/fault/alpha gates belum dijalankan.,"[""T-PM-FORK-04"", ""T-PM-EXP-09""]",DESIGN_ADDRESSED_IMPLEMENTATION_OPEN
