id,change,current_name,test_id,status
PM-RISK-03,RETAINED,Batas kerugian,T-PM-RISK-03,SPECIFIED_NOT_IMPLEMENTED
PM-RISK-04,RETAINED,Likuiditas dan ukuran,T-PM-RISK-04,SPECIFIED_NOT_IMPLEMENTED
PM-RISK-05,RETAINED,Kill switch,T-PM-RISK-05,SPECIFIED_NOT_IMPLEMENTED
PM-RISK-06,RETAINED,Jalur pengurangan risiko,T-PM-RISK-06,SPECIFIED_NOT_IMPLEMENTED
PM-RISK-07,RETAINED,Mandat immutable,T-PM-RISK-07,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-01,REVISED,Satu jalur finansial,T-PM-EXE-01,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-02,REVISED,Adapter dan protocol profile,T-PM-EXE-02,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-03,RETAINED,Idempotensi intent,T-PM-EXE-03,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-04,RETAINED,Status tidak diketahui,T-PM-EXE-04,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-05,RETAINED,Cancel dan replace,T-PM-EXE-05,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-06,RETAINED,Fill dan penutupan,T-PM-EXE-06,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-07,REVISED,Stream dan heartbeat teruji,T-PM-EXE-07,SPECIFIED_NOT_IMPLEMENTED
PM-EXE-08,RETAINED,Settlement,T-PM-EXE-08,SPECIFIED_NOT_IMPLEMENTED
PM-LED-01,RETAINED,Event durable,T-PM-LED-01,SPECIFIED_NOT_IMPLEMENTED
PM-LED-02,RETAINED,Akuntansi numerik,T-PM-LED-02,SPECIFIED_NOT_IMPLEMENTED
PM-LED-03,RETAINED,Rekonsiliasi berkala,T-PM-LED-03,SPECIFIED_NOT_IMPLEMENTED
PM-LED-04,RETAINED,Laporan performa,T-PM-LED-04,SPECIFIED_NOT_IMPLEMENTED
PM-LED-05,RETAINED,Ekspor dan audit,T-PM-LED-05,SPECIFIED_NOT_IMPLEMENTED
PM-OPS-01,RETAINED,Akses dashboard,T-PM-OPS-01,SPECIFIED_NOT_IMPLEMENTED
PM-OPS-02,RETAINED,Observabilitas pengguna,T-PM-OPS-02,SPECIFIED_NOT_IMPLEMENTED
PM-OPS-03,REVISED,Isolasi secret berlapis,T-PM-OPS-03,SPECIFIED_NOT_IMPLEMENTED
PM-OPS-04,RETAINED,Persistence dan restart,T-PM-OPS-04,SPECIFIED_NOT_IMPLEMENTED
PM-OPS-05,RETAINED,Backup dan pemulihan,T-PM-OPS-05,SPECIFIED_NOT_IMPLEMENTED
PM-OPS-06,RETAINED,Monitoring dan biaya,T-PM-OPS-06,SPECIFIED_NOT_IMPLEMENTED
PM-OPS-07,RETAINED,Rilis dan rollback,T-PM-OPS-07,SPECIFIED_NOT_IMPLEMENTED
PM-VAL-01,RETAINED,Tes kontrak dan properti,T-PM-VAL-01,SPECIFIED_NOT_IMPLEMENTED
PM-VAL-02,RETAINED,Evaluasi temporal,T-PM-VAL-02,SPECIFIED_NOT_IMPLEMENTED
PM-VAL-03,REVISED,Simulator dan kenyataan,T-PM-VAL-03,SPECIFIED_NOT_IMPLEMENTED
PM-VAL-04,RETAINED,Evaluasi strategi,T-PM-VAL-04,SPECIFIED_NOT_IMPLEMENTED
PM-VAL-05,RETAINED,Promosi bertahap,T-PM-VAL-05,SPECIFIED_NOT_IMPLEMENTED
