id,group,group_title,owner,priority,name,statement,test_id,test,baseline_id,change,implemented,blueprint_sections,acceptance_status
PM-RISK-07,RISK,Modal dan pengendalian risiko,Risk,P0,Mandat immutable,"Agent dapat mengusulkan perubahan strategi, tetapi tidak dapat menaikkan limit, memperpanjang mandat, mengaktifkan LIVE, atau mengubah signer.",T-PM-RISK-07,Prompt atau tool call yang mencoba mengubah risk policy ditolak dan dicatat.,PM-RISK-07,RETAINED,False,"8, 9, 11",NOT_RUN
PM-EXE-01,EXE,Eksekusi dan lifecycle,Execution,P0,Satu jalur finansial,Semua entry point membuat Proposal/TradeIntent. Hanya executor mengirim order yang berizin; signing dilakukan Signer Vault terpisah melalui typed request sempit.,T-PM-EXE-01,Direct SDK submit dari UI/plugin/gateway ditolak oleh architecture test dan egress policy.,PM-EXE-01,REVISED,False,"4, 9, 11",NOT_RUN
PM-EXE-02,EXE,Eksekusi dan lifecycle,Execution,P0,Adapter dan protocol profile,"SDK Candidate Matrix, contract tests, exact version/integrity pin dan adapter freeze berlaku sebelum profile LIVE; wallet, collateral, contract, asset format dan domain dicocokkan.",T-PM-EXE-02,Upgrade SDK atau domain mengubah profile hash dan membatalkan permit lama.,PM-EXE-02,REVISED,False,"4, 9, 11",NOT_RUN
PM-EXE-03,EXE,Eksekusi dan lifecycle,Execution,P0,Idempotensi intent,"Simpan intent_id, dedupe_key, payload_hash dan signed order hash sebelum jaringan; satu logical intent tidak dikirim sebagai order baru saat timeout.",T-PM-EXE-03,Ulang request identik 100 kali menghasilkan satu logical intent dan paling banyak satu order live aktif.,PM-EXE-03,RETAINED,False,"4, 9, 11",NOT_RUN
PM-EXE-04,EXE,Eksekusi dan lifecycle,Execution,P0,Status tidak diketahui,"Timeout atau koneksi putus setelah submit menghasilkan SUBMISSION_UNKNOWN; lakukan lookup dan rekonsiliasi, bukan retry buta.",T-PM-EXE-04,Bursa menerima order tetapi respons hilang: bot menemukan order itu tanpa submit pengganti.,PM-EXE-04,RETAINED,False,"4, 9, 11",NOT_RUN
PM-EXE-05,EXE,Eksekusi dan lifecycle,Execution,P0,Cancel dan replace,Cancel acknowledgment dan fill terakhir direkonsiliasi sebelum replace; quantity baru hanya sisa yang masih diinginkan dan aman.,T-PM-EXE-05,"Order terisi sebagian saat cancel: replacement memperhitungkan fill, tidak menggandakan posisi.",PM-EXE-05,RETAINED,False,"4, 9, 11",NOT_RUN
PM-EXE-06,EXE,Eksekusi dan lifecycle,Execution,P0,Fill dan penutupan,Update posisi hanya berdasarkan fill atau settlement terverifikasi; ACK/open/FOK rejected bukan closed position.,T-PM-EXE-06,SELL ditolak atau hanya sebagian terisi: posisi sisa tetap tercatat dan dipantau.,PM-EXE-06,RETAINED,False,"4, 9, 11",NOT_RUN
PM-EXE-07,EXE,Eksekusi dan lifecycle,Execution,P0,Stream dan heartbeat teruji,"Heartbeat endpoint, body, ID rollover, auth, scope wallet dan timeout menjadi versioned contract fixtures; stream ping tidak menggantikan order heartbeat.",T-PM-EXE-07,"ID salah, restart dan two-writer heartbeat memicu recovery; resting-order profile diblokir bila contract belum terbukti.",PM-EXE-07,REVISED,False,"4, 9, 11",NOT_RUN
PM-EXE-08,EXE,Eksekusi dan lifecycle,Execution,P0,Settlement,"Simpan dispute/resolved/redeemable/redeemed secara terpisah; redemption hanya setelah finalitas dan transaksi terkonfirmasi, terikat mandat.",T-PM-EXE-08,Pasar disputed tidak dianggap selesai; redeem yang gagal tidak menambah saldo secara lokal.,PM-EXE-08,RETAINED,False,"4, 9, 11",NOT_RUN
PM-LED-01,LED,Ledger dan rekonsiliasi,Ledger,P0,Event durable,"Order, fill, reservasi, fee, transfer dan koreksi menjadi event append-only; proyeksi dapat dibangun ulang.",T-PM-LED-01,Replay event yang sama menghasilkan proyeksi identik dan tidak menggandakan biaya.,PM-LED-01,RETAINED,False,"11, 12",NOT_RUN
PM-LED-02,LED,Ledger dan rekonsiliasi,Ledger,P0,Akuntansi numerik,"Gunakan integer unit aset atau decimal eksak; pisahkan ledger cash, shares, cost basis, realized, unrealized dan biaya operasi.",T-PM-LED-02,"Rounding, partial sell, fee dalam shares/cash, dan resolusi menjaga identitas saldo pada toleransi aset.",PM-LED-02,RETAINED,False,"11, 12",NOT_RUN
PM-LED-03,LED,Ledger dan rekonsiliasi,Ledger,P0,Rekonsiliasi berkala,Bandingkan local orders/fills/positions/balances dengan venue dan chain; drift material menahan entry baru.,T-PM-LED-03,"Trade manual pada wallet terdeteksi, diklasifikasikan external, dan mengubah kapasitas risiko.",PM-LED-03,RETAINED,False,"11, 12",NOT_RUN
PM-LED-04,LED,Ledger dan rekonsiliasi,Ledger,P0,Laporan performa,Pisahkan PAPER/SHADOW/LIVE dan PnL trading/net ekonomi; profit tidak dicatat hanya karena ada sinyal.,T-PM-LED-04,Laporan tidak mencampur saldo simulasi dengan live; sinyal tanpa fill bernilai PnL nol.,PM-LED-04,RETAINED,False,"11, 12",NOT_RUN
PM-LED-05,LED,Ledger dan rekonsiliasi,Ledger,P1,Ekspor dan audit,"Ekspor keputusan, fills, PnL dan konfigurasi teredaksi dalam CSV/JSON; provenance serta koreksi tetap terhubung.",T-PM-LED-05,Ekspor dapat direkonsiliasi dengan ledger dan tidak mengandung key/token/private credential.,PM-LED-05,RETAINED,False,"11, 12",NOT_RUN
PM-OPS-01,OPS,"Produk, keamanan, dan operasi",Operations,P0,Akses dashboard,"Dashboard responsif untuk tablet Android; login pemilik, session aman, CSRF dan audit aksi; signer/DB tidak dipublikasikan.",T-PM-OPS-01,Pengguna tanpa autentikasi tidak membaca portfolio atau mengubah mode; endpoint internal tidak dapat dicapai dari internet.,PM-OPS-01,RETAINED,False,"2, 10, 14",NOT_RUN
PM-OPS-02,OPS,"Produk, keamanan, dan operasi",Operations,P1,Observabilitas pengguna,"Tampilkan mode, stale data, mandat, saldo bebas/terkunci, posisi, orders, keputusan dan biaya AI; alasan NO_TRADE dapat dibaca.",T-PM-OPS-02,Pada feed terputus banner stale tampil dan tombol entry dinonaktifkan; cancel tetap tersedia.,PM-OPS-02,RETAINED,False,"2, 10, 14",NOT_RUN
PM-OPS-03,OPS,"Produk, keamanan, dan operasi",Operations,P0,Isolasi secret berlapis,"Private signing key hanya di Signer Vault; L2/relayer credentials tersegmentasi di layanan pemakai, tidak pada LLM/plugin/dashboard atau log. Dependency closure dibatasi per image.",T-PM-OPS-03,Dump env/container intelligence tidak berisi secret; arbitrary sign request ditolak vault.,PM-OPS-03,REVISED,False,"2, 10, 14",NOT_RUN
PM-OPS-04,OPS,"Produk, keamanan, dan operasi",Operations,P0,Persistence dan restart,"Startup selalu RECOVERING sampai ledger, venue dan mandat selaras; satu executor aktif per wallet memakai fencing.",T-PM-OPS-04,Dua instance bersaing: instance tanpa lease tidak dapat sign/submit; restart tidak mengeksekusi intent basi.,PM-OPS-04,RETAINED,False,"2, 10, 14",NOT_RUN
PM-OPS-05,OPS,"Produk, keamanan, dan operasi",Operations,P0,Backup dan pemulihan,Backup ledger serta konfigurasi terenkripsi di luar VPS; prosedur restore diuji terhadap RPO/RTO yang disepakati.,T-PM-OPS-05,"Simulasi kehilangan host dapat dipulihkan dengan event terbaru, rekonsiliasi, dan status entry tetap tertahan sampai lulus.",PM-OPS-05,RETAINED,False,"2, 10, 14",NOT_RUN
PM-OPS-06,OPS,"Produk, keamanan, dan operasi",Operations,P0,Monitoring dan biaya,"Health, readiness, lag, queue age, fee mismatch, unknown orders, clock drift, dan biaya provider memiliki metrik serta alert terdeduplikasi.",T-PM-OPS-06,Injeksi drift/unknown order/disk penuh menimbulkan alert dan mode aman yang tepat.,PM-OPS-06,RETAINED,False,"2, 10, 14",NOT_RUN
PM-OPS-07,OPS,"Produk, keamanan, dan operasi",Operations,P0,Rilis dan rollback,"Rilis memakai immutable image/manifest, migrasi teruji, dan rollout PAPER dahulu; agent tidak memasang update dirinya sendiri.",T-PM-OPS-07,Rollback binary tidak menjalankan schema tidak kompatibel; orders existing tetap dapat direkonsiliasi.,PM-OPS-07,RETAINED,False,"2, 10, 14",NOT_RUN
PM-VAL-01,VAL,Verifikasi dan kelulusan,Validation,P0,Tes kontrak dan properti,Uji invariants kas/shares/limits/idempotensi dan adapter terhadap fixture serta read-only API terkini; tidak mengandalkan mock saja.,T-PM-VAL-01,"Laporan gate mencantumkan test_id, commit, fixture, input, hasil, dan timestamp; kegagalan P0 menghalangi rilis.",PM-VAL-01,RETAINED,False,"4, 13, 14",NOT_RUN
PM-VAL-02,VAL,Verifikasi dan kelulusan,Validation,P0,Evaluasi temporal,Pisahkan train/validation/holdout menurut waktu dan event; semua fitur memiliki cutoff; calibrator dipasang hanya pada train.,T-PM-VAL-02,Canary label masa depan dan berita setelah cutoff tidak pernah masuk fitur evaluasi.,PM-VAL-02,RETAINED,False,"4, 13, 14",NOT_RUN
PM-VAL-03,VAL,Verifikasi dan kelulusan,Validation,P0,Simulator dan kenyataan,"Paper engine memodelkan bid/ask/depth, antrean, latency, fee, partial fill dan cancel; kalibrasi terhadap micro-LIVE memakai Execution Reality Gap per profile.",T-PM-VAL-03,Simulator yang optimistis pada holdout fill/slippage gagal promosi meskipun paper PnL positif.,PM-VAL-03,REVISED,False,"4, 13, 14",NOT_RUN
PM-VAL-04,VAL,Verifikasi dan kelulusan,Validation,P0,Evaluasi strategi,"Laporkan Brier, log loss, calibration, benchmark pasar, net PnL, drawdown, fill ratio, biaya serta jumlah event independen.",T-PM-VAL-04,Forecast lebih akurat tetapi biaya membuat net negatif tidak dinyatakan layak hanya dari win rate.,PM-VAL-04,RETAINED,False,"4, 13, 14",NOT_RUN
PM-VAL-05,VAL,Verifikasi dan kelulusan,Validation,P0,Promosi bertahap,RESEARCH/PAPER/SHADOW/micro-LIVE/autonomous-LIVE mempunyai gate berbeda; kenaikan modal perlu keputusan pemilik dan bukti operasi/strategi.,T-PM-VAL-05,Gate engineering lulus tetapi evaluasi ekonomi gagal: strategi tetap tidak mendapat izin autonomous-LIVE.,PM-VAL-05,RETAINED,False,"4, 13, 14",NOT_RUN
PM-WALLET-01,Wallet dan kredensial,,Wallet,P0,Deposit Wallet default,"Fresh install mendukung full CLOB V2 POLY_1271 Deposit Wallet; existing EOA, POLY_PROXY dan GNOSIS_SAFE di-discover eksplisit, tanpa downgrade diam-diam.",T-PM-WALLET-01,Keempat jenis wallet melewati golden signing/owner-funder tests; fresh install memilih 3 atau BLOCKED_SETUP.,,NEW,False,5,NOT_RUN
PM-WALLET-02,Wallet dan kredensial,,Wallet,P0,Discovery owner dan funder,"WalletProfile menyimpan owner_signer, account/funder, signature type, chain, deployment proof, contract code/profile dan status discovery.",T-PM-WALLET-02,Owner berbeda dari funder tidak membuat balance/allowance dibaca dari alamat salah.,,NEW,False,5,NOT_RUN
PM-WALLET-03,Wallet dan kredensial,,Wallet,P0,Setup terpisah,Create/discover wallet dan setup approvals berada pada setup mandate; constructor SDK yang dapat deploy/create credentials tidak dijalankan sebagai health probe.,T-PM-WALLET-03,Health check tidak mengirim relayer transaction atau membuat API key.,,NEW,False,5,NOT_RUN
PM-WALLET-04,Wallet dan kredensial,,Wallet,P0,Relayer lifecycle,"Catat relayer operation_id, action hash, wallet nonce, submission/confirmation/revert/unknown; approval dijalankan dari account wallet yang tepat.",T-PM-WALLET-04,Timeout WALLET-CREATE di-reconcile sebelum percobaan baru; EOA approval tidak menandai deposit wallet READY.,,NEW,False,5,NOT_RUN
PM-WALLET-05,Wallet dan kredensial,,Wallet,P0,Allowance readiness,Allowance collateral dan operator outcome token di-query per spender/protocol; READY memerlukan confirmed balance dan approvals yang cocok.,T-PM-WALLET-05,"Saldo cukup tetapi spender salah menghasilkan BALANCE_NOT_APPROVED, tanpa sign.",,NEW,False,5,NOT_RUN
PM-WALLET-06,Wallet dan kredensial,,Wallet,P0,L1 dan L2 authentication,"Pisahkan L1 typed auth, L2 API credentials, builder dan relayer authorization; binding wallet/signer serta lifecycle tercatat tanpa menyimpan secret pada event.",T-PM-WALLET-06,L2 key wallet A gagal pada mandate wallet B; log hanya credential reference.,,NEW,False,5,NOT_RUN
PM-WALLET-07,Wallet dan kredensial,,Wallet,P0,Credential lifecycle,"CredentialRecord mencatat CREATED, ACTIVE, ROTATING, REVOKED, COMPROMISED, owner, scope, creation proof, rotated_at dan health; transitions diaudit.",T-PM-WALLET-07,"COMPROMISED memblokir penggunaan baru, memicu cancel/reconcile dan revocation workflow.",,NEW,False,5,NOT_RUN
PM-WALLET-08,Wallet dan kredensial,,Wallet,P0,Rotation dan revocation,"Rotasi memakai overlap terkendali dan bukti key baru sehat; revoke lama terkonfirmasi, termasuk dampak open orders dan relayer/session yang terpisah.",T-PM-WALLET-08,API-key revocation tidak diasumsikan mencabut approval on-chain atau session key.,,NEW,False,5,NOT_RUN
PM-WALLET-09,Wallet dan kredensial,,Wallet,P0,Asset readiness,"Pisahkan funding asset, settled collateral, outcome inventory, reported wallet balance, allowance, encumbrance dan available-to-trade.",T-PM-WALLET-09,USDC atau bridge pending tidak menambah pUSD spendable; UI menjelaskan selisih saldo.,,NEW,False,5,NOT_RUN
PM-WALLET-10,Wallet dan kredensial,,Wallet,P1,Session keys opsional,"Session key beta hanya profile opt-in setelah scopes, lifetime nyata dan revocation completion terbukti; tidak mengasumsikan custom validUntil atau revoke sinkron.",T-PM-WALLET-10,Return revoke API sebelum chain selesai tetap REVOKING dan menahan permit terkait.,,NEW,False,5,NOT_RUN
PM-PROTO-01,Kontrak Polymarket,,Execution,P0,Migration boundary,"Legacy signed V1 order ditolak. CLOB generation, settlement protocol CTF/PolyV2, Exchange domain dan SDK version adalah dimensi berbeda.",T-PM-PROTO-01,Asset PolyV2 tidak masuk encoder CTF; domain mismatch ditolak sebelum private key dipakai.,,NEW,False,4,NOT_RUN
PM-PROTO-02,Kontrak Polymarket,,Execution,P0,SDK selection,"Bandingkan unified client dan clob-client-v2 berdasarkan signature 0–3, wallet/relayer, heartbeat, asset profiles, fees, rounding dan runtime; pin hanya kandidat yang lulus.",T-PM-PROTO-02,"Matriks mencatat PASS/FAIL/NOT_RUN per test, bukan memberi PASS karena package resmi.",,NEW,False,4,NOT_RUN
PM-PROTO-03,Kontrak Polymarket,,Execution,P0,External contract drift,"Simpan snapshot OpenAPI/docs, package SRI, golden payload dan profile hash; perubahan kontrak menahan profile sampai recertification.",T-PM-PROTO-03,Fixture changed menghasilkan PROFILE_DRIFT dan resting orders direconcile sesuai policy.,,NEW,False,4,NOT_RUN
PM-PROTO-04,Kontrak Polymarket,,Execution,P0,Hard spending bound,maxSpend helper bukan batas keras yang diasumsikan; setiap path LIVE harus membuktikan bound debit termasuk match-time fee atau ditolak.,T-PM-PROTO-04,"Fee dinaikkan antara quote dan match; test menunjukkan debit masih bounded, atau profile tetap BLOCKED.",,NEW,False,4,NOT_RUN
PM-PROTO-05,Kontrak Polymarket,,Execution,P0,GTD dan batas waktu,"Uji offset expiration, minimum future expiry dan server clock per SDK/profile; horizon intent tidak otomatis sama dengan expiry resting order.",T-PM-PROTO-05,Signal 30 detik tidak diam-diam dikirim GTC/GTD beberapa menit jika invalidation risk tidak diizinkan.,,NEW,False,4,NOT_RUN
PM-PROTO-06,Kontrak Polymarket,,Execution,P0,Builder metadata,Builder code/metadata divalidasi dan disertakan dalam signed payload hash; default builder credential tidak diperoleh dari plugin.,T-PM-PROTO-06,Perubahan builder code setelah permit menyebabkan signature request ditolak.,,NEW,False,4,NOT_RUN
PM-INTEL-01,Intelligence dan sumber,,Intelligence,P0,Intelligence plane,"Sediakan fundamental, market, participant, structural, alternative dan cross-market signals melalui feature contracts; LLM hanya salah satu synthesizer.",T-PM-INTEL-01,"Strategi statistik dapat membuat proposal tanpa LLM, tetap melewati kernel yang sama.",,NEW,False,6,NOT_RUN
PM-INTEL-02,Intelligence dan sumber,,Intelligence,P0,Source Registry,"SourceRecord memuat kelas epistemik, domain, reliability dengan sample/window, correction history, syndication parent, latency dan specialization.",T-PM-INTEL-02,Dua URL wire copy menghasilkan satu independent evidence family.,,NEW,False,6,NOT_RUN
PM-INTEL-03,Intelligence dan sumber,,Intelligence,P0,Kualitas sumber,"Bobot evidence mempertimbangkan sumber primer, temporal relevance, independensi dan kontradiksi; rating sumber bukan probabilitas kebenaran otomatis.",T-PM-INTEL-03,Sumber populer tetapi tersindikasi atau terlambat tidak menambah confidence tanpa alasan yang diaudit.,,NEW,False,6,NOT_RUN
PM-INTEL-04,Intelligence dan sumber,,Intelligence,P0,Market intelligence,"Features menyimpan spread/depth/volume/velocity/orderflow, sampling window, source lag dan quality flags; missing tidak diimputasi nol.",T-PM-INTEL-04,WS gap membatalkan features hingga snapshot recovery dan watermark selaras.,,NEW,False,6,NOT_RUN
PM-INTEL-05,Intelligence dan sumber,,Intelligence,P1,Participant intelligence,"Ranking wallet memperhitungkan settled/open PnL, deposits, event mix, sample size, survivorship, entry latency dan follow capacity.",T-PM-INTEL-05,Whale menang karena early entry tidak menghasilkan copy BUY pada harga follower yang EV-negatif.,,NEW,False,6,NOT_RUN
