package,upstream_range,upstream_group,disposition,target,rationale,production_admitted
@polkadot/api,^14.3.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@predictdotfun/sdk,^1.3.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@project-serum/anchor,^0.26.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@pump-fun/pump-sdk,1.36.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@pump-fun/pump-swap-sdk,1.19.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@raydium-io/raydium-sdk-v2,^0.2.32-alpha,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@slack/bolt,^3.17.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@solana/kit,^5.0.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@solana/spl-token,^0.4.14,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@solana/web3.js,^1.98.4,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@trpc/server,10.45.4,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/better-sqlite3,^7.6.13,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/bn.js,^5.2.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/figlet,^1.7.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/pg,^8.16.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@whiskeysockets/baileys,^6.7.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@wormhole-foundation/sdk,^4.11.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@wormhole-foundation/sdk-evm,^4.9.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@wormhole-foundation/sdk-evm-cctp,^4.9.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@wormhole-foundation/sdk-evm-tokenbridge,^4.9.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@wormhole-foundation/sdk-solana,^4.9.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@wormhole-foundation/sdk-solana-cctp,^4.9.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@wormhole-foundation/sdk-solana-tokenbridge,^4.9.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@xenova/transformers,^2.17.2,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
better-sqlite3,^12.6.2,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
binance,^3.3.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
bn.js,^5.2.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
bs58,^5.0.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
bullmq,^5.69.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
bybit-api,^4.6.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
chalk,^5.3.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
chokidar,^3.5.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
commander,^12.0.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
discord.js,^14.14.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
docx,^9.5.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
dotenv,^16.6.1,dependencies,RESEARCH-ONLY,local paper tooling only,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
ethers,^6.16.0,dependencies,REWRITE,official SDK candidate + narrow signer; exact closure unapproved,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
eventemitter3,^5.0.1,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
express,^4.18.2,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
fast-xml-parser,^5.3.7,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
figlet,^1.10.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
glob,^10.3.10,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
grammy,^1.40.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
hyperliquid,^1.7.7,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
inquirer,^9.2.14,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
ioredis,^5.9.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
json5,^2.2.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
mammoth,^1.11.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
node-cron,^3.0.3,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
nodemailer,^9.0.6,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
pg,^8.17.2,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
pino,^8.18.0,dependencies,KEEP+HARDEN,structured redacted logging,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
pino-pretty,^10.3.1,dependencies,RESEARCH-ONLY,developer logs only,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
sharp,^0.35.4,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
sql.js,^1.14.0,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
tiktoken,^1.0.22,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
tmi.js,^1.8.5,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
unofficial-opinion-clob-sdk,^0.1.10,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
ws,^8.16.0,dependencies,ADAPT,market/user websocket adapter,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
yaml,^2.3.4,dependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
zod,^3.22.4,dependencies,ADAPT,domain validation,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/express,^4.17.21,devDependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/hapi__boom,^9.0.1,devDependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/node,^20.19.33,devDependencies,ADAPT,build types only,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/nodemailer,^6.4.22,devDependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/sql.js,^1.4.9,devDependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
@types/ws,^8.5.10,devDependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
puppeteer,^24.37.5,devDependencies,REMOVE,none,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
tsx,^4.7.0,devDependencies,RESEARCH-ONLY,dev/test only,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
typescript,^5.3.3,devDependencies,ADAPT,build only,Tidak ada package ikut LIVE otomatis. Pin exact + integrity + license + transitive closure + reviewed lifecycle scripts per image sebelum admission.,False
